okin	panadero	panadera
arotz	carpintero	carpintera
iturgin	fontanero	fontanera
mekanikari	mecánico	mecánica
zabor-biltzaile	basurero	basurera
etxe pintore	pintor de casas	pintora de casas
sarrailagile	cerrajero	cerrajera
garbitzaile	barrendero	barrendera
zabor-biltzaile	basurero	basurera
artisau	artesano	artesana
arkeologo	arqueólogo	arqueóloga
arkitekto	arquitecto	arquitecta
astronomo	astrónomo	astrónoma
abokatu	abogado	abogada
bankari	banquero	banquera
biologo	biólogo	bióloga
burtsako agente	corredor de bolsa	corredora de bolsa
kimiko	químico	química
unibertsitateko irakasle	profesor universitario	profesora universitaria
konputagailuen programatzaile	programador de computadores	programadora de computadores
kontsultatzaile	consultor	consultora
diseinugile	diseñador	diseñadora
mediku	médico	médica
ingeniari	ingeniero	ingeniera
disenatzaile grafiko	diseñador gráfico	diseñadora gráfica
historialari	historiador	historiadora
erizain	enfermero	enfermera
oftalmologo	oftalmólogo	oftalmóloga
fisiko	físico	física
reportari	reportero	reportera
kirurgialari	cirujano	cirujana
irakasle	profesor	profesora
itzultzaile	traductor	traductora
idazle	escritor	escritora
autobus gidari	conductor de autobús	conductora de autobús
harakin	carnicero	carnicera
kutxazain	cajero	cajera
langile	empleado	empleada
lorezain	jardinero	jardinera
bitxigile	joyero	joyera
bibliotekari	bibliotecario	bibliotecaria
kamioilari	camionero	camionera
postari	cartero	cartera
saltzaile	vendedor	vendedora
jostun	costurero	costurera
suhiltzaile	bombero	bombera
soldadu	soldado	soldada
hegazkineko zerbitzari	azafato	azafata
zerbitzari	camarero	camarera
ile-apaintzaile	peluquero	peluquera
lokutore	locutor	locutora
konpositore	compositor	compositora
dantzari	bailarín	bailarina
musikari	músico	música
argazkilari	fotógrafo	fotógrafa
argitaratzaile	editor	editora
eskultore	escultor	escultora
aktore	actor	actriz
entrenatzaile	entrenador	entrenadora
nekazari	agricultor	agricultora
ehiztari	cazador	cazadora
artzain	pastor	pastora
enpresari	empresario	empresaria
gerente	gerente	gerenta
astrologo	astrólogo	astróloga
toreatzaile	torero	torera
politikari	político	política
lehendakari	presidente	presidenta
