{{profession}} gisa lan egiten zuela ezagutu nuen {{person_name}}.	Conocí a {{person_name}} cuando @@él|ella@@ trabajaba de {{profession}}.
{{profession}}a zela ezagutu nuen {{person_name}}.	Conocí a {{person_name}} cuando @@él|ella@@ era {{profession}}.
{{profession}} gisa lan egiten duenez geroztik ezagutzen dut {{person_name}}.	Conozco a {{person_name}} desde que trabaja de {{profession}}.
Nire {{named_entity}}k {{profession}} gisa jasotzen zuen ordainsariari esker egin genuen aurrera.	Conseguimos sobrevivir gracias al salario que mi {{named_entity}} ganaba como {{profession}}.
Nire {{named_entity}}k {{profession}} gisa lan egiten du lehen solairuan.	Mi {{named_entity}} trabaja de {{profession}} en la primera planta.
Nire {{named_entity}}k, gure familiako lehenengo {{profession}}a bera, hiriko jatetxe onenera gonbidatu gintuen afaltzera.	Mi {{named_entity}}, @@el primer|la primera@@ {{profession}} de la familia, nos inivitó a cenar al mejor restaurante de la ciudad.
Nire {{named_entity}}k hezi ninduen, artean {{profession}} gisa lan egin zuelarik.	Fuí criado por mi {{named_entity}} mientras @@él|ella@@ era aún {{profession}}
{{person_name}} izena dut eta {{profession}}a naiz.	Me llamo {{person_name}} y soy {{profession}}.
Hau {{person_name}} da, etorkizun handiko {{profession}}a.	@@Este|Esta@@ es {{person_name}}, @@un|una@@ prometedor@@|a@@ {{profession}}.
{{person_name}} gonbidatu zuten, {{profession}} ezaguna.	Invitaron a {{person_name}}, reconocid@@o|a@@ {{profession}}.
{{person_name}} zen, atzerrian urteetan {{profession}} modura lan egin zuen lagun bat.	Se trataba de {{person_name}}, un@@|a@@ amig@@o|a@@ que trabajó como {{profession}} en el extranjero durante años.
{{person_name}} aurkeztu zidan, lagun {{profession}} bat.	Me presentó a {{person_name}}, un amig@@o|a@@ {{profession}}.
{{person_name}}ri {{profession}} izatea gustatuko litzaioke.	A {{person_name}} le gustaría ser {{profession}}.
{{person_name}} goizean goiz esnatzen da egunero {{profession}} gisa lan egiteko.	{{person_name}} se levanta temprano todas las mañanas para trabajar de {{profession}}.
{{person_name}}k {{profession}} izan nahi du.	{{person_name}} quiere ser {{profession}}.
Familiako {{profession}} gisa zen ezaguna {{person_name}}.	{{person_name}} era conocid@@o|a@@ como @@el|la@@ {{profession}} de la familia.
{{person_name}} bikaina da eta sekulako {{profession}}a.	{{person_name}} es brillante y @@un|una@@ {{profession}} excelente.
{{person_name}} {{profession}} izateaz gain {{profession}}a ere bada.	{{person_name}} además de {{profession}} es también {{profession}}.
{{person_name}}k {{profession}} izateari utzi zion, {{profession}} gisa aritzeko.	{{person_name}} dejó de ser {{profession}} para dedicarse a trabajar como {{profession}}.
{{person_name}}, orain dela 10 urte hasi zinen {{profession}} moduan lanean.	{{person_name}}, empezaste a trabajar como {{profession}} hace 10 años.
{{profession}} bezala lanean zebilenean ere denbora ateratzen zuen {{person_name}}k.	{{person_name}} sacaba tiempo incluso cuando trabajaba de {{profession}}.
Nire lagun {{person_name}} {{profession}}a zela esan nizunean haserratu egin zinen.	Cuando te dije que mi amig@@o|a@@ {{person_name}} era {{profession}} te enfadaste.
Atsekabe handia hartu nuen {{person_name}}, herriko {{profession}}a, hil zela esan zenidanean.	Me llevé un gran disgusto cuando me dijiste que {{person_name}}, @@el|la@@ {{profession}} del pueblo, había fallecido.
{{person_name}}, {{profession}}a zena, nire bikote izan zen urteetan.	{{person_name}}, que era {{profession}}, fue mi pareja durante años.
{{person_name}}k {{profession}} xume modura deskribatzen du bere burua.	{{person_name}} se autodescribe como @@un|una@@ modest@@o|a@@ {{profession}}.
Aurreko urtean {{person_name}}k bere {{profession}} lanean laguntzeko eskatu zidan.	El año pasado {{person_name}} me solicitó que le ayudara en su trabajo de {{profession}}.
14 urte ditu {{person_name}}k eta {{profession}} izateko ari da ikasten.	{{person_name}} tiene 14 años y está estudiando para ser {{profession}}.
